lot_id,cvd_machine,meas_time,position_x,position_y,thickness_value
LOT-001,CVD_M02,2026-05-20 00:00:00,0.0,0.0,100.44
LOT-001,CVD_M02,2026-05-20 00:00:00,30.0,0.0,100.99
LOT-001,CVD_M02,2026-05-20 00:00:00,0.0,30.0,100.71
LOT-001,CVD_M02,2026-05-20 00:00:00,-30.0,0.0,100.84
LOT-001,CVD_M02,2026-05-20 00:00:00,-0.0,-30.0,100.07
LOT-001,CVD_M02,2026-05-20 00:00:00,60.0,0.0,100.55
LOT-001,CVD_M02,2026-05-20 00:00:00,42.43,42.43,99.73
LOT-001,CVD_M02,2026-05-20 00:00:00,0.0,60.0,99.98
LOT-001,CVD_M02,2026-05-20 00:00:00,-42.43,42.43,99.92
LOT-001,CVD_M02,2026-05-20 00:00:00,-60.0,0.0,100.49
LOT-001,CVD_M02,2026-05-20 00:00:00,-42.43,-42.43,100.39
LOT-001,CVD_M02,2026-05-20 00:00:00,-0.0,-60.0,
LOT-001,CVD_M02,2026-05-20 00:00:00,42.43,-42.43,99.73
LOT-001,CVD_M02,2026-05-20 00:00:00,90.0,0.0,100.22
LOT-001,CVD_M02,2026-05-20 00:00:00,77.94,45.0,100.17
LOT-001,CVD_M02,2026-05-20 00:00:00,45.0,77.94,99.79
LOT-001,CVD_M02,2026-05-20 00:00:00,0.0,90.0,100.81
LOT-001,CVD_M02,2026-05-20 00:00:00,-45.0,77.94,100.08
LOT-001,CVD_M02,2026-05-20 00:00:00,-77.94,45.0,100.18
LOT-001,CVD_M02,2026-05-20 00:00:00,-90.0,0.0,99.59
LOT-001,CVD_M02,2026-05-20 00:00:00,-77.94,-45.0,99.89
LOT-001,CVD_M02,2026-05-20 00:00:00,-45.0,-77.94,100.17
LOT-001,CVD_M02,2026-05-20 00:00:00,-0.0,-90.0,99.83
LOT-001,CVD_M02,2026-05-20 00:00:00,45.0,-77.94,99.98
LOT-001,CVD_M02,2026-05-20 00:00:00,77.94,-45.0,100.37
LOT-001,CVD_M02,2026-05-20 00:00:00,120.0,0.0,99.57
LOT-001,CVD_M02,2026-05-20 00:00:00,110.87,45.92,99.61
LOT-001,CVD_M02,2026-05-20 00:00:00,84.85,84.85,100.26
LOT-001,CVD_M02,2026-05-20 00:00:00,45.92,110.87,98.81
LOT-001,CVD_M02,2026-05-20 00:00:00,0.0,120.0,99.69
LOT-001,CVD_M02,2026-05-20 00:00:00,-45.92,110.87,99.34
LOT-001,CVD_M02,2026-05-20 00:00:00,-84.85,84.85,99.75
LOT-001,CVD_M02,2026-05-20 00:00:00,-110.87,45.92,99.87
LOT-001,CVD_M02,2026-05-20 00:00:00,-120.0,0.0,99.3
LOT-001,CVD_M02,2026-05-20 00:00:00,-110.87,-45.92,99.61
LOT-001,CVD_M02,2026-05-20 00:00:00,-84.85,-84.85,99.3
LOT-001,CVD_M02,2026-05-20 00:00:00,-45.92,-110.87,99.96
LOT-001,CVD_M02,2026-05-20 00:00:00,-0.0,-120.0,99.87
LOT-001,CVD_M02,2026-05-20 00:00:00,45.92,-110.87,99.73
LOT-001,CVD_M02,2026-05-20 00:00:00,84.85,-84.85,99.64
LOT-001,CVD_M02,2026-05-20 00:00:00,110.87,-45.92,99.34
LOT-001,CVD_M02,2026-05-20 00:00:00,145.0,0.0,99.39
LOT-001,CVD_M02,2026-05-20 00:00:00,102.53,102.53,99.18
LOT-001,CVD_M02,2026-05-20 00:00:00,0.0,145.0,99.28
LOT-001,CVD_M02,2026-05-20 00:00:00,-102.53,102.53,99.27
LOT-001,CVD_M02,2026-05-20 00:00:00,-145.0,0.0,99.36
