lot_id,cvd_machine,meas_time,position_x,position_y,thickness_value
LOT-001,CVD_M01,2026-05-20 00:00:00,0.0,0.0,100.59
LOT-001,CVD_M01,2026-05-20 00:00:00,30.0,0.0,100.08
LOT-001,CVD_M01,2026-05-20 00:00:00,0.0,30.0,100.69
LOT-001,CVD_M01,2026-05-20 00:00:00,-30.0,0.0,100.2
LOT-001,CVD_M01,2026-05-20 00:00:00,-0.0,-30.0,99.91
LOT-001,CVD_M01,2026-05-20 00:00:00,60.0,0.0,100.2
LOT-001,CVD_M01,2026-05-20 00:00:00,42.43,42.43,99.59
LOT-001,CVD_M01,2026-05-20 00:00:00,0.0,60.0,100.61
LOT-001,CVD_M01,2026-05-20 00:00:00,-42.43,42.43,99.89
LOT-001,CVD_M01,2026-05-20 00:00:00,-60.0,0.0,100.42
LOT-001,CVD_M01,2026-05-20 00:00:00,-42.43,-42.43,100.53
LOT-001,CVD_M01,2026-05-20 00:00:00,-0.0,-60.0,100.69
LOT-001,CVD_M01,2026-05-20 00:00:00,42.43,-42.43,100.81
LOT-001,CVD_M01,2026-05-20 00:00:00,90.0,0.0,
LOT-001,CVD_M01,2026-05-20 00:00:00,77.94,45.0,100.27
LOT-001,CVD_M01,2026-05-20 00:00:00,45.0,77.94,100.27
LOT-001,CVD_M01,2026-05-20 00:00:00,0.0,90.0,99.88
LOT-001,CVD_M01,2026-05-20 00:00:00,-45.0,77.94,99.53
LOT-001,CVD_M01,2026-05-20 00:00:00,-77.94,45.0,99.43
LOT-001,CVD_M01,2026-05-20 00:00:00,-90.0,0.0,99.42
LOT-001,CVD_M01,2026-05-20 00:00:00,-77.94,-45.0,99.88
LOT-001,CVD_M01,2026-05-20 00:00:00,-45.0,-77.94,99.66
LOT-001,CVD_M01,2026-05-20 00:00:00,-0.0,-90.0,99.98
LOT-001,CVD_M01,2026-05-20 00:00:00,45.0,-77.94,99.03
LOT-001,CVD_M01,2026-05-20 00:00:00,77.94,-45.0,99.43
LOT-001,CVD_M01,2026-05-20 00:00:00,120.0,0.0,99.62
LOT-001,CVD_M01,2026-05-20 00:00:00,110.87,45.92,99.36
LOT-001,CVD_M01,2026-05-20 00:00:00,84.85,84.85,99.84
LOT-001,CVD_M01,2026-05-20 00:00:00,45.92,110.87,99.66
LOT-001,CVD_M01,2026-05-20 00:00:00,0.0,120.0,99.97
LOT-001,CVD_M01,2026-05-20 00:00:00,-45.92,110.87,99.32
LOT-001,CVD_M01,2026-05-20 00:00:00,-84.85,84.85,99.56
LOT-001,CVD_M01,2026-05-20 00:00:00,-110.87,45.92,100.0
LOT-001,CVD_M01,2026-05-20 00:00:00,-120.0,0.0,99.43
LOT-001,CVD_M01,2026-05-20 00:00:00,-110.87,-45.92,98.88
LOT-001,CVD_M01,2026-05-20 00:00:00,-84.85,-84.85,99.81
LOT-001,CVD_M01,2026-05-20 00:00:00,-45.92,-110.87,99.08
LOT-001,CVD_M01,2026-05-20 00:00:00,-0.0,-120.0,99.74
LOT-001,CVD_M01,2026-05-20 00:00:00,45.92,-110.87,99.12
LOT-001,CVD_M01,2026-05-20 00:00:00,84.85,-84.85,99.09
LOT-001,CVD_M01,2026-05-20 00:00:00,110.87,-45.92,98.91
LOT-001,CVD_M01,2026-05-20 00:00:00,145.0,0.0,99.61
LOT-001,CVD_M01,2026-05-20 00:00:00,102.53,102.53,99.3
LOT-001,CVD_M01,2026-05-20 00:00:00,0.0,145.0,98.96
LOT-001,CVD_M01,2026-05-20 00:00:00,-102.53,102.53,99.38
LOT-001,CVD_M01,2026-05-20 00:00:00,-145.0,0.0,99.64
LOT-001,CVD_M01,2026-05-20 00:00:00,-102.53,-102.53,99.66
LOT-001,CVD_M01,2026-05-20 00:00:00,-0.0,-145.0,99.18
