record_id,timestamp,equipment_id,temperature_c,pressure_bar,thickness_nm,rf_power_w,gas_flow_sccm,vibration_mm_s,alarm_state
D1-01-01,2026-08-01 08:00:00,CVD_01,343.6,2.373,99.45,592,177.6,0.76,NORMAL
D1-01-02,2026-08-01 08:00:00,CVD_02,348.9,2.253,101.45,612,185.6,0.82,NORMAL
D1-01-03,2026-08-01 08:00:00,CVD_03,339.6,2.493,97.95,577,171.6,0.70,NORMAL
D1-02-01,2026-08-01 08:30:00,CVD_01,344.3,2.391,99.67,596,178.4,0.79,NORMAL
D1-02-02,2026-08-01 08:30:00,CVD_02,349.6,2.271,101.67,616,186.4,0.85,NORMAL
D1-02-03,2026-08-01 08:30:00,CVD_03,340.3,2.511,98.17,581,172.4,0.73,NORMAL
D1-03-01,2026-08-01 09:00:00,CVD_01,345.0,2.409,99.89,600,179.2,0.81,NORMAL
D1-03-02,2026-08-01 09:00:00,CVD_02,350.3,2.289,101.89,620,187.2,0.87,NORMAL
D1-03-03,2026-08-01 09:00:00,CVD_03,341.0,2.529,98.39,585,173.2,0.75,NORMAL
D1-04-01,2026-08-01 09:30:00,CVD_01,345.7,2.427,100.11,604,180.0,0.84,NORMAL
D1-04-02,2026-08-01 09:30:00,CVD_02,351.0,2.307,102.11,624,188.0,0.90,NORMAL
D1-04-03,2026-08-01 09:30:00,CVD_03,341.7,2.547,98.61,589,174.0,0.78,NORMAL
D1-05-01,2026-08-01 10:00:00,CVD_01,346.4,2.373,100.33,608,180.8,0.76,NORMAL
D1-05-02,2026-08-01 10:00:00,CVD_02,351.7,2.253,102.33,628,188.8,0.82,NORMAL
D1-05-03,2026-08-01 10:00:00,CVD_03,342.4,2.493,98.83,593,174.8,0.70,NORMAL
D1-06-01,2026-08-01 10:30:00,CVD_01,343.6,2.391,100.55,592,181.6,0.79,NORMAL
D1-06-02,2026-08-01 10:30:00,CVD_02,348.9,2.271,102.55,612,189.6,0.85,NORMAL
D1-06-03,2026-08-01 10:30:00,CVD_03,339.6,2.511,99.05,577,,0.73,REVIEW
D1-07-01,2026-08-01 11:00:00,CVD_01,344.3,2.409,99.45,596,182.4,0.81,NORMAL
D1-07-02,2026-08-01 11:00:00,CVD_02,349.6,2.289,101.45,616,190.4,0.87,NORMAL
D1-07-03,2026-08-01 11:00:00,CVD_03,340.3,2.529,97.95,581,176.4,0.75,NORMAL
D1-08-01,2026-08-01 11:30:00,CVD_01,345.0,2.427,99.67,600,177.6,0.84,NORMAL
D1-08-02,2026-08-01 11:30:00,CVD_02,350.3,2.307,101.67,620,185.6,0.90,NORMAL
D1-08-03,2026-08-01 11:30:00,CVD_03,341.0,2.547,98.17,585,171.6,0.78,NORMAL
D1-09-01,2026-08-01 12:00:00,CVD_01,345.7,2.373,99.89,604,178.4,0.76,NORMAL
D1-09-02,2026-08-01 12:00:00,CVD_02,363.2,2.253,101.89,624,186.4,0.82,WARNING
D1-09-03,2026-08-01 12:00:00,CVD_03,341.7,2.493,98.39,589,172.4,0.70,NORMAL
D1-10-01,2026-08-01 12:30:00,CVD_01,346.4,2.391,100.11,608,179.2,0.79,NORMAL
D1-10-02,2026-08-01 12:30:00,CVD_02,378.4,2.860,102.11,628,187.2,0.85,DANGER
D1-10-03,2026-08-01 12:30:00,CVD_03,342.4,2.511,98.61,593,173.2,0.73,NORMAL
D1-11-01,2026-08-01 13:00:00,CVD_01,343.6,2.409,100.33,592,180.0,0.81,NORMAL
D1-11-02,2026-08-01 13:00:00,CVD_02,348.9,2.289,102.33,612,188.0,0.87,NORMAL
D1-11-03,2026-08-01 13:00:00,CVD_03,339.6,2.529,98.83,577,174.0,0.75,NORMAL
D1-12-01,2026-08-01 13:30:00,CVD_01,344.3,2.427,100.55,596,180.8,0.84,NORMAL
D1-12-02,2026-08-01 13:30:00,CVD_02,349.6,2.307,102.55,616,188.8,0.90,NORMAL
D1-12-03,2026-08-01 13:30:00,CVD_03,340.3,2.547,99.05,581,174.8,0.78,NORMAL
D1-13-01,2026-08-01 14:00:00,CVD_01,345.0,2.373,99.45,600,181.6,0.76,NORMAL
D1-13-02,2026-08-01 14:00:00,CVD_02,350.3,2.253,101.45,620,189.6,0.82,NORMAL
D1-13-03,2026-08-01 14:00:00,CVD_03,341.0,2.493,97.95,585,175.6,0.70,NORMAL
D1-14-01,2026-08-01 14:30:00,CVD_01,345.7,2.391,,604,182.4,0.79,REVIEW
D1-14-02,2026-08-01 14:30:00,CVD_02,351.0,2.271,101.67,624,190.4,0.85,NORMAL
D1-14-03,2026-08-01 14:30:00,CVD_03,341.7,2.511,98.17,589,176.4,0.73,NORMAL
